OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Planning ref,Current Status
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0011,N/A,"13 - 15 Commercial RoadPaddock WoodTonbridgeKentTN12 6EN",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab15,OSGB36,567081,145137,0.07,not owned by a public authority,Yes,permissioned,other,19/10/2016,15/510061/PNOCLA (prior approval not required),N/A,5,Notification for prior approval for a proposed change of use of a building from office use (Class B1(a)) to five dwellings (Class C3) -first floor only,Library on ground floor,N/A,5,5,N/A,LBD/Flood Zone 2,N/A,2017-11-27,2017-11-27,16/06501/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0012,N/A,"69-71 Culverden DownRoyal Tunbridge WellsTN4 9SL",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab16,OSGB36,557677,140411,0.17,not owned by a public authority,Yes,permissioned,full planning permission,15/02/2017,"15/504820/FULL (approved), 15/508764/FULL (approved)",N/A,8,Proposed demolition of existing dwelling and proposed development of 8 apartments with associated hard and soft landscaping,N/A,N/A,8,8,N/A,LBD,N/A,2017-11-27,2017-11-27,16/07150/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0013,N/A,"Westcombe House2 - 4 Mount EphraimRoyal Tunbridge WellsKent",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab17,OSGB36,558294,140000,0.06,not owned by a public authority,Yes,permissioned,other,10/01/2017,17/03114/FULL (approved),N/A,24,Notification for Prior Approval for a Proposed Change of Use of a building from Office Use (Class B1(a)) to Dwellinghouse (Class C3) - creating 24 new units,Small part B1(a) onN ground floor,N/A,24,24,N/A,LBD/Adjoining CA/Air Quality Management Area,N/A,2017-11-27,2017-11-27,16/07532/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0014,N/A,"Westcombe House2 - 4 Mount EphraimRoyal Tunbridge WellsKent",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab18,OSGB36,558294,140000,0.06,not owned by a public authority,Yes,permissioned,full planning permission,15/11/2017,16/07532/PNOCLA (prior approval not required),N/A,9,"Change of use from office space and reconstruction of existing fourth floor and facade and single storey extension at front and rear with internal revisions to provide 9 residential units and to allow for plant, refuse and cycle storage (in counjunction with 16/07532/PNOCLA above)",Small part B1(a) onN ground floor,N/A,9,9,N/A,LBD/Adjoining CA/Air Quality Management Area,N/A,2017-11-27,2017-11-27,17/03114/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0015,N/A,"8-16 Grove Hill RoadRoyal Tunbridge WellsKent ",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab19,OSGB36,558522,139096,0.07,not owned by a public authority,Yes,permissioned,full planning permission,01/12/2016,None recent,N/A,8,"Demolition of an unlisted building in a conservation area and erection of a 4 storey block accommodating 8 apartments (being 2 x 1 bed, 4 x 2 bed, and 2 x 3 bedrooms), with 9 parking spaces to the rear, and access from Grove Hill Road",N/A,N/A,8,8,N/A,LBD/CA/Primary Shopping Area,N/A,2017-11-27,2017-11-27,16/502868/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0016,N/A,"Reliance Recovery13A Benhall Mill RoadRoyal Tunbridge WellsKentTN2 5JH",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab20,OSGB36,559240,137870,0.19,not owned by a public authority,Yes,permissioned,full planning permission,12/08/2016,None recent,N/A,6,Redevelopment of site to provide 6 dwellings.,N/A,N/A,6,6,N/A,LBD,N/A,2017-11-27,2017-11-27,16/505200/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0017,N/A,"Speldhurst PlaceSpeldhurst RoadSouthboroughRoyal Tunbridge WellsKentTN4 0JA",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab21,OSGB36,557803,141766,0.1,not owned by a public authority,Yes,permissioned,other,07/03/2017,"14/501360/PNBCM (approved), 15/501950/PNJCLA (prior approval not required), 15/502423/FULL (approved), 15/505557/FULL (approved), ",N/A,10,"Notification for Prior Approval for a Proposed Changed of use of ground and first floors of each wing, second floor of central part of building from Office use (Class B1(a)) to Dwellinghouses (Class C3) to create 10 apartments",N/A,N/A,10,10,N/A,LBD/Potential contamination,N/A,2017-11-27,2017-11-27,17/00097/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0018,N/A,"Dowding HouseCommercial RoadPaddock WoodTonbridgeKent",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab22,OSGB36,566852,144927,0.23,owned by a public authority,Yes,permissioned,full planning permission,03/03/2017,None recent,N/A,18,Change of use from Sui Generis to Class C3;  Minor alterations to internal layout of units and bathroom facilities to result in a total of 18 flats,N/A,N/A,18,18,N/A,LBD/Primary Shopping Area,N/A,2017-11-27,2017-11-27,17/00317/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0019,N/A,"20 - 26 St Johns RoadRoyal Tunbridge WellsKentTN4 9NR",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab23,OSGB36,558335,140067,0.11,not owned by a public authority,Yes,permissioned,other,21/03/2017,16/06422/PNOCLA (prior approval not required),N/A,7,Notification for Prior Approval for a proposed change of use of a building from Office use (Class B1(a)) to Dwellinghouses (Class C3) to create 7 residential units (Ground floor only - in addition to 16/06422/PNOCLA for 14 dwellings) ,N/A,N/A,7,7,N/A,LBD,N/A,2017-11-27,2017-11-27,17/00627/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0020,N/A,"20 - 26 St Johns RoadRoyal Tunbridge WellsKentTN4 9NR",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab24,OSGB36,558335,140067,0.11,not owned by a public authority,Yes,permissioned,other,25/10/2016,17/00627/PNOCLA (prior approval not required),N/A,14,Notification for Prior Approval for a Proposed Change of Use of a building from Office Use (Class B1(a)) to 14 Dwellings (Class C3),Office use on ground floor,N/A,14,14,N/A,LBD,N/A,2017-11-27,2017-11-27,16/06422/PNOCLA ,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0021,N/A,"Windsor House6-10 Mount Ephraim RoadRoyal Tunbridge WellsKentTN1 1EE",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab25,OSGB36,558390,139735,0.12,not owned by a public authority,Yes,permissioned,other,04/11/2014,None recent,N/A,12,A change of use of 6-10 Mount Ephriam Road from offices to 12 residential units.,N/A,N/A,12,12,N/A,LBD/CA,N/A,2017-11-27,2017-11-27,14/503975/PNBCM,Expired
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0022,N/A,"1 Boyne ParkRoyal Tunbridge WellsKentTN4 8EL",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab26,OSGB36,558071,139637,0.061,not owned by a public authority,N/A,permissioned,other,02/01/2015,17/03158/PNOCLA (pending),N/A,8,"Prior notification for the Change of use of ground, first and second office accommodation to C3 residential units.",N/A,N/A,8,8,N/A,LBD/CA/Listed pavement along Mount Ephraim,N/A,2017-11-27,2017-11-27,14/505543/PNJCLA,Expired
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0023,N/A,"1 Boyne ParkRoyal Tunbridge WellsKentTN4 8EL",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab27,OSGB36,558071,139637,0.06,not owned by a public authority,N/A,pending decision,other,Pending,14/505543/PNJCLA (expired),N/A,10,"Notification for Prior Approval for a Proposed Changed of use of building from Office use (Class B1) to Dwellinghouses (Class C3) to create 10 apartments comprising of 1 x studio, 6 x 1-bedroom and 3 x 2-bedroom units",N/A,N/A,10,10,N/A,LBD/CA/Listed pavement along Mount Ephraim,N/A,2017-11-27,2017-11-27,17/03158/PNOCLA,Pending
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0024,N/A,"Unit 1The Southborough Centre1 Draper StreetSouthboroughRoyal Tunbridge WellsKentTN4 0PG",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab28,OSGB36,557964,142612,0.03,not owned by a public authority,N/A,not permissioned,other,30/03/2015,None recent,N/A,12,Prior notification for the change of use of Conversion of 1st and 2nd floors from B1 offices to C3 residential 6x1 bed flats and 6x2 bed flats,Other commercialunits in business centre,N/A,12,12,N/A,LBD/CA,N/A,2017-11-27,2017-11-27,15/500805/PNJCLA,Expired
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0025,N/A,Homeopathic Hospital 71Church Road Tunbridge Wells TN1 1JU,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab29,OSGB36,558208,139401,0.249,not owned by a public authority,N/A,pending decision,full planning permission,Pending,None recent,N/A,12,Change of Use and conversion of former Homeopathic Hospital building to 12 No. residential apartments with associated parking and landscaping,N/A,N/A,12,12,N/A,ALRTW7/LBD/CA/TPO,N/A,2017-11-28,2017-11-28,17/01848/FULL,Pending
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0026,N/A,"MabledonLondon RoadSouthboroughRoyal Tunbridge WellsKentTN4 0UH",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab30,OSGB36,558037,144680,0.6,not owned by a public authority,Yes,permissioned,full planning permission,23/06/2016,15/500591/LBC (approved),N/A,9,"Conversion of Listed Mansion house to 9 no. self-contained apartments, removal of flat roofed extension and provision of parking spaces with internal and external alterations pursuant to withdrawn applications no.s 14/0533/FUL and 14/0535/LBC",N/A,N/A,9,9,N/A,LB/MGB/AONB/Historic Park and Garden/Grade 4 Agriculturalland/TPO,N/A,2017-11-27,2017-11-27,15/500589/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0027,N/A,"Land And Buildings Rear Of35 Quarry RoadRoyal Tunbridge WellsKent",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab31,OSGB36,558907,140213,0.085,not owned by a public authority,Yes,permissioned,outline planning permission,appeal allowed 05/01/2017,17/03826/REM (pending),N/A,9,"Outline application for demolition of all buildings and erection of a block of flats comprising 3 x 1 bed units and 6 x 2 bed units with access, layout and scale to be considered at this stage and all other matters reserved for future consideration.",N/A,N/A,9,9,N/A,LBD/Potential contamination,N/A,2017-11-27,2017-11-27,16/504607/OUT,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0028,N/A,"Land at the Rifle Range Warwick Park Royal Tunbridge WellsKent",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab32,OSGB36,559051,138199,0.99,unknown ownership,Yes,N/A,N/A,N/A,None recent,N/A,24,SALP allocation AL/RTW8,N/A,N/A,24,24,N/A,AL/RTW8/LBD/Area of Landscape Importance,N/A,2017-11-30,2017-11-30,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0029,N/A,Lifestyle Motor Europe Langton Road Royal Tunbridge Wells,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab33,OSGB36,557217,139193,0.32,not owned by a public authority,Yes,N/A,N/A,N/A,12/00057/FUL (gararge related approved),N/A,15,SALP allocation AL/RTW9,N/A,N/A,15,15,N/A,AL/RTW9/LBD/CA,N/A,2017-11-30,2017-11-30,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0030,N/A,Former Gas Works Sandhurst Road Royal Tunbridge Wells TN2 3TQ,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab34,OSGB36,559406,141174,1.78,unknown ownership,N/A,N/A,N/A,N/A,adjoining site 04/01948/FULMJ (176 dwellings approved),N/A,170,SALP allocation AL/RTW10,N/A,N/A,170,170,N/A,AL/RTW19/LBD,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0031,N/A,Land at Goods Station Road Royal Tunbridge Wells TN1 2BT,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab35,OSGB36,558606,139916,0.17,unknown ownership,N/A,N/A,N/A,N/A,None recent,N/A,47,SALP allocation AL/RTW11,N/A,N/A,47,47,N/A,AL/RTW11/LBD/Part inside Town Centre Boundary,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0032,N/A,Land at Quarry Road Royal Tunbridge Wells TN1 2RL,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab36,OSGB36,558851,140297,0.39,unknown ownership,N/A,N/A,N/A,N/A,None recent,N/A,27,SALP allocation AL/RTW12,N/A,N/A,27,27,N/A,AL/RTW12/LBD/Central Access Zone,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0033,N/A,Land at Medway Road Royal Tunbridge Wells TN1 2EZ,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab37,OSGB36,558929,140352,0.25,unknown ownership,N/A,N/A,N/A,N/A,None recent,N/A,20,SALP allocation AL/RTW14,N/A,N/A,20,20,N/A,AL/RTW14/LBD/Central Access Zone,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0034,N/A,123-125 Silverdale Road Royal Tunbridge Wells TN4 9HX,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab38,OSGB36,558947,141059,0.23,not owned by a public authority,Yes,pending decision,full planning permission,Pending,07/00343/FULMJ (74 dwellings Refused),N/A,18,"Residential redevelopment to accommodate 18 apartments in 3 blocks comprising 5 x 1 bed, 11 x 2 bed and 2 x 3 bed apartments, with parking and retained access to Silverdale Road.",N/A,N/A,18,18,N/A,AL/RTW15/LBD/Falls in AL/RTW29 Silverdale Neighbourhood Centre,N/A,2017-12-04,2017-12-04,17/00381/FULL,Pending
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0035,N/A,Lifestyle Ford 3 Mount EphraimRoyal Tunbridge Wells TN4 8AG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab39,OSGB36,558316,139925,0.45,not owned by a public authority,N/A,N/A,N/A,N/A,13/01769/ADV (approved advertisement sign),N/A,30,SALP allocation AL/RTW22,Part B1 use,N/A,30,30,N/A,AL/RTW22/LBD/CA/Central Parking Zone,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0036,N/A,Land at Yew Tree Road (Southborough Library) TN4 0BB,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab40,OSGB36,558204,141898,0.12,owned by a public authority,Yes,N/A,N/A,N/A,None recent,N/A,10,SALP allocation AL/SO1,N/A,N/A,10,10,N/A,AL/SO1/LBD/ within Town Centre Boundary/Area of Special Landscape Importance,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0037,N/A,Police Station Wheatfield Drive Cranbrook TN17 3LT,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab41,OSGB36,577048,135994,0.20,owned by a public authority,Yes,N/A,N/A,N/A,None recent,N/A,7,SALP allocation AL/CR1,N/A,N/A,7,7,N/A,AL/CR1/LBD,N/A,2017-12-04,2017-12-04,N/A,N/A
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0038,N/A,Former Springfield Garden Centre Cranbrook Road Hawkhurst TN18 5EE,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab42,OSGB36,575876,131047,2.25,not owned by a public authority,Yes,pending decision,outline planning permission,Pending,None recent,N/A,24,"Outline (Access not reserved) - Proposed erection of 24 dwellings to include garaging, parking provision, improvements to existing vehicular access, landscaping and other ancillary works",N/A,N/A,24,40,N/A,Part of AL/HA1 for 40 dwellings/LBD,N/A,2017-12-04,2017-12-04,17/02192/OUT,Pending
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0039,N/A,Charles Trent Ltd Willow Lane Paddock Wood ,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab43,OSGB36,569133,144266,1.10,not owned by a public authority,Yes,permissioned,outline planning permission,16/05/2017,14/506196/OUT (residential refused),N/A,6,Outline application for the residential redevelopment of existing car salvage/ end-of-life vehicle processing and storage operation into six residential dwellings. Access not reserved.,N/A,N/A,6,6,N/A,Outside LBD/Potential contamination/Rural Lane/Flood Zones 2 and 3 at site entrance,N/A,2017-12-06,2017-12-06,16/504124/OUT,Extant
